session_test_id,email,age,gender,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
default_example,e,23,male,trial1,anchor70,36,32370,
default_example,e,23,male,trial1,C3,100,32370,
default_example,e,23,male,trial1,anchor35,100,32370,
default_example,e,23,male,trial1,C2,100,32370,
default_example,e,23,male,trial1,C1,100,32370,
default_example,e,23,male,trial1,reference,100,32370,
default_example,e,23,male,trial_random_2,C1,100,15245,
default_example,e,23,male,trial_random_2,C3,100,15245,
default_example,e,23,male,trial_random_2,reference,100,15245,
default_example,e,23,male,trial_random_2,C2,100,15245,
default_example,e,23,male,trial_random_1,reference,100,31878,
default_example,e,23,male,trial_random_1,C2,100,31878,
default_example,e,23,male,trial_random_1,C3,100,31878,
default_example,e,23,male,trial_random_1,C1,100,31878,
